"name"	"description"	"sig_group"	"up.p"	"up.odds"	"up.expected"	"up.counts"	"up.padjust"	"down.p"	"down.odds"	"down.expected"	"down.counts"	"down.padjust"
""	"**regulation of chromosome segregation**"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GO:0007091"	"metaphase/anaphase transition of mitotic cell cycle"	"up"	1.18312717624462e-06	5.26879964367901	4.02976686094921	16	0.000279267310559408	1	0	1.85751457119067	0	1
"GO:0007094"	"mitotic spindle assembly checkpoint"	"up"	3.32477137356511e-06	6.81242807825086	2.53726061615321	12	0.00062263900268583	1	0	1.16954621149042	0	1
"GO:0010965"	"regulation of mitotic sister chromatid separation"	"up"	8.672146105056e-08	5.78324641460235	4.25364279766861	18	4.09397564042852e-05	1	0	1.96070982514571	0	1
"GO:0030071"	"regulation of mitotic metaphase/anaphase transition"	"up"	4.98468903132525e-07	5.72137819867016	3.80589092422981	16	0.000148622438749777	1	0	1.75431931723564	0	1
"GO:0031577"	"spindle checkpoint"	"up"	3.32477137356511e-06	6.81242807825086	2.53726061615321	12	0.00062263900268583	1	0	1.16954621149042	0	1
"GO:0033045"	"regulation of sister chromatid segregation"	"up"	9.37871941462888e-07	4.24879533958238	5.89539966694421	20	0.00024711835108778	1	0	2.71747502081599	0	1
"GO:0033046"	"negative regulation of sister chromatid segregation"	"up"	3.34586642368799e-07	6.47116716483196	3.28351373855121	15	0.000114874747213288	1	0	1.51353039134055	0	1
"GO:0033047"	"regulation of mitotic sister chromatid segregation"	"up"	1.27640693369315e-06	4.60039778623314	4.99989592006661	18	0.00029513654201517	1	0	2.30469400499584	0	1
"GO:0033048"	"negative regulation of mitotic sister chromatid segregation"	"up"	1.12723607826431e-06	6.25140845070423	3.13426311407161	14	0.000274636395774333	1	0	1.44473355537052	0	1
"GO:0044784"	"metaphase/anaphase transition of cell cycle"	"up"	2.02540180938109e-06	5.00479548660085	4.17901748542881	16	0.000424959305560885	1	0	1.9263114071607	0	1
"GO:0045839"	"negative regulation of mitotic nuclear division"	"up"	3.69220495870865e-06	5.06971030226844	3.88051623646961	15	0.000685781675117524	0.838406148948695	0.549732620320856	1.78871773522065	1	1
